№	R1	R4	R10	R24	R33	R50	R75	R100
1	2.0	4.4	10.4	25.0	33.2	50.1	75.3	100.1
2	1.9	4.4	10.4	25.0	33.2	50.1	75.5	100.3
3	2.0	4.4	10.4	25.1	33.2	50.1	75.5	100.2
4	2.0	4.4	10.4	25.1	33.3	50.1	75.4	100.2
5	2.0	4.4	10.4	25.1	33.3	50.1	75.5	100.3
6	2.1	4.4	10.4	25.1	33.2	50.2	75.3	100.3
7	2.0	4.4	10.4	25.1	33.2	50.1	75.4	100.4
8	2.0	4.4	10.4	25.1	33.1	50.2	75.4	100.3
9	2.0	4.4	10.4	25.1	33.1	50.1	75.6	100.3
10	2.0	4.4	10.4	25.0	33.2	50.4	75.4	100.3
